Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2024-07-05T20:00:00Z,PH,502.506683294,17,Market On Open,Filled,8542.613615998,"" 
2024-07-05T20:00:00Z,WM,207.39782189,-36,Market On Open,Filled,-7466.32158804,"" 
2024-07-10T20:00:00Z,CAT,323.539986,28,Market On Open,Filled,9059.119608,"" 
2024-07-10T20:00:00Z,EMR,109.802557398,-58,Market On Open,Filled,-6368.548329084,"" 
2024-07-16T20:00:00Z,PH,559.348106196,-17,Market On Open,Filled,-9508.917805332,"" 
2024-07-16T20:00:00Z,WM,218.322318522,36,Market On Open,Filled,7859.603466792,"" 
2024-07-17T20:00:00Z,HUM,393.320051968,25,Market On Open,Filled,9833.0012992,"" 
2024-07-17T20:00:00Z,CI,337.03003438,-14,Market On Open,Filled,-4718.42048132,"" 
2024-07-23T20:00:00Z,TT,337.491873068,27,Market On Open,Filled,9112.280572836,"" 
2024-07-23T20:00:00Z,CTAS,188.53137951375,-33,Market On Open,Filled,-6221.5355239538,"" 
2024-07-24T20:00:00Z,URI,708.549699,-14,Market On Open,Filled,-9919.695786,"" 
2024-07-24T20:00:00Z,T,18.283373988,-472,Market On Open,Filled,-8629.752522336,"" 
2024-07-24T20:00:00Z,TMUS,175.79396455,46,Market On Open,Filled,8086.5223693,"" 
2024-07-24T20:00:00Z,PH,528.190732124,14,Market On Open,Filled,7394.670249736,"" 
2024-07-25T20:00:00Z,TT,323.814320635,-27,Market On Open,Filled,-8742.986657145,"" 
2024-07-25T20:00:00Z,CTAS,188.50160552475,33,Market On Open,Filled,6220.5529823167,"" 
2024-07-26T20:00:00Z,PH,549.312027,-30,Market On Open,Filled,-16479.36081,"" 
2024-07-26T20:00:00Z,WM,195.497219512,41,Market On Open,Filled,8015.385999992,"" 
2024-07-29T20:00:00Z,PH,546.530825566,29,Market On Open,Filled,15849.393941414,"" 
2024-07-31T20:00:00Z,WM,200.367888588,-2,Market On Open,Filled,-400.735777176,"" 
2024-07-31T20:00:00Z,PH,552.310973742,-29,Market On Open,Filled,-16017.018238518,"" 
2024-08-01T20:00:00Z,HUM,357.21604228,-25,Market On Open,Filled,-8930.401057,"" 
2024-08-01T20:00:00Z,PH,518.837581394,16,Market On Open,Filled,8301.401302304,"" 
2024-08-01T20:00:00Z,WM,203.532837522,-39,Market On Open,Filled,-7937.780663358,"" 
2024-08-01T20:00:00Z,CI,327.41211321,14,Market On Open,Filled,4583.76958494,"" 
2024-08-02T20:00:00Z,PCAR,89.287556655,-126,Market On Open,Filled,-11250.23213853,"" 
2024-08-02T20:00:00Z,AME,149.50457795,36,Market On Open,Filled,5382.1648062,"" 
2024-08-05T20:00:00Z,T,18.05411538,472,Market On Open,Filled,8521.54245936,"" 
2024-08-05T20:00:00Z,TMUS,184.37409073,-46,Market On Open,Filled,-8481.20817358,"" 
2024-08-08T20:00:00Z,HUM,344.776762736,24,Market On Open,Filled,8274.642305664,"" 
2024-08-08T20:00:00Z,PH,565.256922054,-14,Market On Open,Filled,-7913.596908756,"" 
2024-08-08T20:00:00Z,HES,131.95001859,58,Market On Open,Filled,7653.10107822,"" 
2024-08-08T20:00:00Z,OXY,57.51276328,-125,Market On Open,Filled,-7189.09541,"" 
2024-08-08T20:00:00Z,WM,202.951117936,35,Market On Open,Filled,7103.28912776,"" 
2024-08-08T20:00:00Z,SYK,322.468467222,-17,Market On Open,Filled,-5481.963942774,"" 
2024-08-09T20:00:00Z,PCAR,88.81706625,126,Market On Open,Filled,11190.9503475,"" 
2024-08-09T20:00:00Z,AME,159.716585002,-36,Market On Open,Filled,-5749.797060072,"" 
2024-08-12T20:00:00Z,SYK,322.993724729,17,Market On Open,Filled,5490.893320393,"" 
2024-08-12T20:00:00Z,HUM,344.934659184,-57,Market On Open,Filled,-19661.275573488,"" 
2024-08-12T20:00:00Z,T,18.560394806,415,Market On Open,Filled,7702.56384449,"" 
2024-08-12T20:00:00Z,TMUS,193.10215012,-38,Market On Open,Filled,-7337.88170456,"" 
2024-08-12T20:00:00Z,CI,322.96173702,17,Market On Open,Filled,5490.34952934,"" 
2024-08-15T20:00:00Z,T,18.254716662,-415,Market On Open,Filled,-7575.70741473,"" 
2024-08-15T20:00:00Z,TMUS,192.41179514,38,Market On Open,Filled,7311.64821532,"" 
2024-08-19T20:00:00Z,HES,136.20837867,-58,Market On Open,Filled,-7900.08596286,"" 
2024-08-19T20:00:00Z,OXY,56.14948325,125,Market On Open,Filled,7018.68540625,"" 
2024-08-20T20:00:00Z,HUM,352.730796304,33,Market On Open,Filled,11640.116278032,"" 
2024-08-20T20:00:00Z,CI,337.94368777,-17,Market On Open,Filled,-5745.04269209,"" 
2024-08-22T20:00:00Z,T,18.684576552,413,Market On Open,Filled,7716.730115976,"" 
2024-08-22T20:00:00Z,TMUS,195.232388344,-37,Market On Open,Filled,-7223.598368728,"" 
2024-08-26T20:00:00Z,T,18.86607295,-413,Market On Open,Filled,-7791.68812835,"" 
2024-08-26T20:00:00Z,TMUS,198.368572396,37,Market On Open,Filled,7339.637178652,"" 
2024-08-28T20:00:00Z,PCAR,91.655035835,100,Market On Open,Filled,9165.5035835,"" 
2024-08-28T20:00:00Z,AME,168.647124243,-26,Market On Open,Filled,-4384.825230318,"" 
2024-09-03T20:00:00Z,HUM,354.5268684,25,Market On Open,Filled,8863.17171,"" 
2024-09-03T20:00:00Z,T,19.572953658,396,Market On Open,Filled,7750.889648568,"" 
2024-09-03T20:00:00Z,TMUS,198.718286072,-36,Market On Open,Filled,-7153.858298592,"" 
2024-09-03T20:00:00Z,SYK,356.887699709,18,Market On Open,Filled,6423.978594762,"" 
2024-09-03T20:00:00Z,CI,361.34393648,-12,Market On Open,Filled,-4336.12723776,"" 
2024-09-04T20:00:00Z,GOOG,157.036110938,-65,Market On Open,Filled,-10207.34721097,"" 
2024-09-04T20:00:00Z,CMCSA,37.696776,93,Market On Open,Filled,3505.800168,"" 
2024-09-06T20:00:00Z,T,20.01236599,-396,Market On Open,Filled,-7924.89693204,"" 
2024-09-06T20:00:00Z,TMUS,191.228257066,36,Market On Open,Filled,6884.217254376,"" 
2024-09-11T20:00:00Z,HUM,325.286419936,-25,Market On Open,Filled,-8132.1604984,"" 
2024-09-11T20:00:00Z,CI,352.330062082,12,Market On Open,Filled,4227.960744984,"" 
2024-09-16T20:00:00Z,MSFT,437.439244,16,Market On Open,Filled,6999.027904,"" 
2024-09-16T20:00:00Z,CSCO,49.65819967,-49,Market On Open,Filled,-2433.25178383,"" 
2024-09-18T20:00:00Z,T,20.671484488,-276,Market On Open,Filled,-5705.329718688,"" 
2024-09-18T20:00:00Z,TMUS,196.135858634,28,Market On Open,Filled,5491.804041752,"" 
